slice_id	feature_class	owner	coverage_status	blocker_hash
Slice 4	coreir	compiler	proof_current	none
Slice 5	coreir	compiler	proof_current	none
Slice 9	vm_runtime	vm	proof_current	none
Slice 10	coreir	compiler	proof_current	none
Slice 11	coreir	compiler	proof_current	none
Slice 12	coreir	compiler	proof_current	none
Slice 13	parser	compiler	proof_current	none
Slice 14	native_boundary	runtime	proof_current	none
Slice 15	coreir	compiler	proof_current	none
Slice 16	vm_runtime	vm	proof_current	none
Slice 17	std_packages	compiler	proof_current	none
Slice 18	wasm	compiler	proof_current	none
Slice 19	std_packages	compiler	proof_current	none
Slice 20	std_packages	compiler	proof_current	none
Slice 22	coreir	compiler	slice_blocked	sha256:7edf7dd9b78dd015f93b30a71b0d972e1a800e19c025fb8877a4b986d9b92866
Slice 23	coreir	compiler	slice_blocked	sha256:7edf7dd9b78dd015f93b30a71b0d972e1a800e19c025fb8877a4b986d9b92866
Slice 24	vm_runtime	vm	slice_blocked	sha256:1e3fff408b73ba8eabc55dedb0030ecf5e926b966de6bed1b2ee23933c34691e
Slice 25	coreir	compiler	slice_blocked	sha256:7edf7dd9b78dd015f93b30a71b0d972e1a800e19c025fb8877a4b986d9b92866
Slice 26	coreir	compiler	slice_blocked	sha256:7edf7dd9b78dd015f93b30a71b0d972e1a800e19c025fb8877a4b986d9b92866
Slice 27	coreir	compiler	slice_blocked	sha256:7edf7dd9b78dd015f93b30a71b0d972e1a800e19c025fb8877a4b986d9b92866
Slice 28	coreir	compiler	slice_blocked	sha256:7edf7dd9b78dd015f93b30a71b0d972e1a800e19c025fb8877a4b986d9b92866
